,upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,Stock,cost_cents,cost_qty,Phone,New CSV
0,"=""200100000003""",General Food,1,100,n,n,Grandmas,Net wr.2/78 81.5g,,n,1,"=""0""",0,,617-866-3824,This is a variable product.
1,"=""204022000004""",Dairy,1,299,n,n,Grapes White/Green/Perlette/Thompson Seedless,,y,n,1,"=""0""",0,,617-866-3824,This is a variable product.
2,"=""251748000009""",Water,1,500,n,n,SMT LIMPIO G,,n,n,1,"=""0""",0,,617-866-3824,This is a simple product.
3,"=""60014399""",Household,1,199,n,n,Vaseline,50ml,,n,1,"=""0""",0,1.0,617-866-3824,This is a simple product.
4,"=""60022127""",Household,1,375,n,n,Vaseline,,,n,1,"=""0""",0,1.0,617-866-3824,This is a simple product.
5,"=""75916565""",Misc.,1,199,n,n,Vicks,,,n,1,"=""0""",0,1.0,617-866-3824,This is a simple product.
6,"=""80761761""",Candy,1,199,n,n,Kinder,,,n,1,"=""0""",0,1.0,617-866-3824,This is a simple product.
7,"=""80788737""",Candy,1,199,n,n,Joy,,,n,1,"=""0""",0,1.0,617-866-3824,This is a simple product.
8,"=""80874997""",Candy,1,225,n,n,Kinder joy,,,n,1,"=""0""",0,1.0,617-866-3824,This is a simple product.
9,"=""000143000097""",Condiments,1,299,n,n,BLUE VASELINE,Vax,y,n,1,"=""0""",0,,617-866-3824,This is a simple product.
10,"=""000630135615""",Candy,1,100,n,n,Sugar Free Liquid Candy,1 oz,y,n,1,"=""0""",0,,617-866-3824,This is a simple product.
11,"=""000630135714""",Snacks,1,199,n,n,Too tarts,,,n,1,"=""0""",0,1.0,617-866-3824,This is a simple product.
12,"=""000630135899""",Candy,1,149,n,n,"Too Tarts Spray Candy Sugar Free, Straw Bewwy",1 Oz,y,n,1,"=""0""",0,,617-866-3824,"This is a simple, virtual product."
13,"=""005100000264""",Grocery Non-Taxable,1,50,n,n,Beans,,y,n,1,"=""0""",0,,617-866-3824,"This is a simple, virtual product."
14,"=""008464400145""",Water,1,100,n,n,Monadnock Water,,,n,1,"=""0""",0,,617-866-3824,
15,"=""008464400640""",Drinks,1,200,n,n,Water,1 Gal,,n,1,"=""0""",0,,617-866-3824,
16,"=""008563888707""",Snacks,1,100,n,n,Coconut Macarroni,"=""1""",,n,1,"=""0""",0,,617-866-3824,
17,"=""008563991070""",Snacks,1,100,n,n,Coconut Macaroon,1.2oz,,n,1,"=""0""",0,,617-866-3824,
18,"=""008660000026""",Tobacco,1,249,n,n,Zig-Zag Slow Burning Wrapping Paper,1 ct,,n,1,"=""0""",0,,617-866-3824,
