SKU,Categories,Stock,Price,Name
200100000003,General Food,1,100,Grandmas
204022000004,Dairy,1,299,Grapes White/Green/Perlette/Thompson Seedless
251748000009,Water,1,500,SMT LIMPIO G
60014399,Household,1,199,Vaseline
60022127,Household,1,375,Vaseline
75916565,Misc.,1,199,Vicks
80761761,Candy,1,199,Kinder
80788737,Candy,1,199,Joy
80874997,Candy,1,225,Kinder joy
000143000097,Condiments,1,299,BLUE VASELINE
000630135615,Candy,1,100,Sugar Free Liquid Candy
000630135714,Snacks,1,199,Too tarts
000630135899,Candy,1,149,"Too Tarts Spray Candy Sugar Free, Straw Bewwy"
005100000264,Grocery Non-Taxable,1,50,Beans
008464400145,Water,1,100,Monadnock Water
008464400640,Drinks,1,200,Water
008563888707,Snacks,1,100,Coconut Macarroni
008563991070,Snacks,1,100,Coconut Macaroon
008660000026,Tobacco,1,249,Zig-Zag Slow Burning Wrapping Paper
009004045741,Drinks,1,199,P
009060000029,Candy,1,149,"Mega Warheads:Candy, Strawberry"
009060000081,Candy,1,149,Rip Rolls Rainbow Reaction
009114920006,Misc.,1,349,Zecol Zeco-20 Windshield Washer Solvant
009300003056,Grocery Non-Taxable,1,299,Sanks
009800000227,Candy,1,189,Raffaello:Confetteria
009800000524,Candy,1,199,Kinder joy
009800000555,Candy,1,199,kinder Bueno
009800000777,Snacks,1,199,Kinder
009800001071,Candy,1,149,Tic Tac:Grape
009800001088,Candy,1,149,Tic Tac Mixers Cherry
009800001507,Candy,1,149,tic tac mixers
009800001811,Candy,1,149,Tic Tacs 3 pk Freshmint
009800002993,Candy,1,149,TIC TAC FROSTY MINT
009800005406,Candy,1,149,Tic tac
009800007400,Candy,1,149,Tic Tac Strawberry Fields Mints
009800007608,Candy,1,149,Tic Tac:Fruit Adventure
009800007615,Candy,1,149,Tic Tac Freshmints
009800007639,Candy,1,149,Tic Tac Orange
009800007677,Candy,1,149,Tic Tac Big Pack Wintergreen Singles
009800100026,Candy,1,149,Tic tac
009800123018,Candy,1,169,Ferrero Rocher:Fine Hazelnut Chocolates
009800300037,Candy,1,149,TIC TAC GUM WATERMELON
009800800056,Snacks,1,199,Nutella Ferrero & Go Hazelnut Spread + Breadsticks
009800802203,Grocery Non-Taxable,1,349,Nutella Ferrero Hazelnut Spread With Cocoa
009800895007,Grocery Non-Taxable,1,449,Nutella
010200231005,Grocery Non-Taxable,1,219,"Indian Head:Corn Meal, Old Fashioned Stone Ground Yellow"
010300938194,Snacks,1,199,Emerald:Sea Salt & Pepper
